,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
59,BACUNI_02872,-0.663945434588204,2.56256006041368e-08,-1.60699578443557,9.65986311892109e-38
60,BACUNI_02773,-0.617281257318201,2.61789367634668e-08,-2.06566686726141,1.42455629501952e-78
61,BACUNI_02277,-0.90768579408817,2.78076413007612e-08,-1.0805508323964,3.74057870326209e-43
62,BACUNI_03857,-0.704642708695992,2.96269893734235e-08,0.670274168955974,4.15667234693225e-66
63,BACUNI_01211,0.556716893201621,4.07789592826958e-08,-0.705251813491227,3.3375141566748104e-09
64,BACUNI_00882,0.500133104703465,4.16163910338593e-08,2.26816114535001,1.7761080818026297e-195
65,BACUNI_01250,-0.668840001840938,4.17840946131865e-08,-1.4280607622936,3.9933073285181096e-11
66,BACUNI_00190,-0.503369031182658,4.2938503970904e-08,0.684944112948926,9.31899704271061e-08
67,BACUNI_00623,-0.612213069616534,4.72784407603944e-08,-1.0086184306681,2.61051427141036e-23
68,BACUNI_00191,-0.572138128073281,4.82218132632151e-08,-0.758622048300291,1.02492736652274e-09
69,BACUNI_00959,-0.553468324729362,5.12758646755182e-08,-4.11281624373578,0.0
70,BACUNI_01876,0.966210133048698,7.20768641120293e-08,-0.95857071759454,4.25830328065416e-31
71,BACUNI_01994,0.598929090880684,7.62035383639343e-08,1.89754073171253,1.38033469930296e-64
72,BACUNI_02200,-0.672153345116779,7.93062200210321e-08,-0.947454965175981,6.07966594674042e-12
73,BACUNI_04254,0.619712430536087,8.34481883606941e-08,-1.98491646167609,1.33136981862383e-06
74,BACUNI_02296,-0.638373686033223,9.49163474775324e-08,-1.74578904245833,1.14307317735614e-102
75,BACUNI_03858,-0.705160663346319,9.83448695905744e-08,1.23279648112323,5.34381232140317e-115
76,BACUNI_02564,-0.513284162547968,1.20819481082697e-07,-1.90432377060577,5.56336606868409e-08
77,BACUNI_01103,-1.40150081218598,1.24506949052527e-07,1.05099862686761,5.95522617495528e-89
78,cysK,0.514467388709004,1.31658905660847e-07,0.790649664313625,1.1888020551453601e-23
79,BACUNI_02849,0.547710359089635,1.40738808810187e-07,-1.70722063339538,1.58324102203031e-80
80,BACUNI_01987,0.524907909031953,1.40738808810187e-07,-1.41276397383264,4.72972981589924e-76
81,BACUNI_00386,0.925703960770264,1.73890434714279e-07,-1.43220830831934,3.88894746128168e-41
82,BACUNI_01695,0.527254459589411,1.7556317660993e-07,-1.89595954609756,8.05210735942784e-240
83,BACUNI_01979,-0.504541672529751,2.5478004464387e-07,-1.34885419254074,9.94478562984881e-06
84,aspT,0.507976562193758,3.53694757189199e-07,-1.00176554731947,3.97760404038762e-35
85,BACUNI_04019,-0.572457346375437,5.01000189512798e-07,0.695831437751554,2.06712183378405e-06
86,BACUNI_00723,-0.619575041390707,5.17384232161005e-07,-1.1362416602401,1.81508304502645e-06
87,BACUNI_03361,-2.29986282274595,6.90542266649769e-07,-1.54956770382905,2.5892205011408698e-11
88,BACUNI_03181,-0.500421423082077,7.53117326350883e-07,1.68677604341347,8.1614976473666e-77
89,BACUNI_04042,0.532848730567874,7.53117326350883e-07,1.30476982482196,6.92633923026086e-34
90,BACUNI_02077,0.523124301720774,8.99063762343504e-07,2.20464960083342,8.014316637967009e-158
91,BACUNI_04645,-0.585835091237367,9.30980505406747e-07,-0.661435700468008,0.0021822150770291
92,BACUNI_02943,0.822911187760521,9.50181271212344e-07,-0.920623963481267,1.01635894503226e-32
93,BACUNI_04442,-0.688571460916428,1.01125977787295e-06,0.746515369241524,1.6123751437478001e-24
94,BACUNI_02223,-0.610992669114875,1.19801068759933e-06,0.833858565088988,6.46917641528179e-06
95,rbr,-0.563237614535435,2.07468791177907e-06,-0.645519587213255,6.849960524974929e-42
96,BACUNI_00932,-0.595431659623653,2.2413130986963e-06,3.40086011471806,0.0
97,BACUNI_03980,0.529387554143916,2.77500145992825e-06,4.30564625794491,0.0
98,ald,0.83448929108123,2.7949477757889e-06,0.638040776345475,7.49933513821156e-10
99,rpmD,-0.662642084609164,3.10474268166078e-06,-2.37714961776488,1.88779178305542e-135
100,BACUNI_03063,-0.52026392371296,3.63490035281024e-06,1.52871039023416,2.40514430371179e-10
101,BACUNI_02389,0.648936376446379,3.64215030238767e-06,-3.34953689662187,0.0
102,BACUNI_04316,1.20407960833316,4.07381793995523e-06,9.6171943339961,4.99677790374067e-17
103,BACUNI_03224,-0.507736819331559,5.78542473298625e-06,0.892182828288314,1.91329829904613e-08
104,BACUNI_01394,0.519730794860244,1.1410688280208e-05,-2.31205010405628,4.03704376961445e-93
105,BACUNI_01289,-0.598346169765339,1.43979615465678e-05,-1.58523148989059,9.73246520003236e-16
106,BACUNI_00261,0.520384483325124,4.91086992225861e-05,-0.636018416408641,2.2845033729596097e-12
107,BACUNI_00133,0.515349436356281,5.45901959884473e-05,7.1707798934192,0.0
108,BACUNI_00237,0.701136151970161,6.08527786164965e-05,4.35193692915053,0.0
109,BACUNI_00912,-0.58316848677914,9.51415279324911e-05,2.27486283801352,6.93438725894732e-113
110,BACUNI_03213,0.504762120460715,0.0004970438622774,1.44958795704271,9.287029448176351e-21
