,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
147,BACUNI_03651,1.33403566365324,2.0852196565982e-13,1.76715763642937,4.0191951929428296e-92
148,tpx,1.85933707978095,2.0852196565982e-13,3.23259698655218,0.0
149,BACUNI_04625,0.946775500055917,2.1660365474129799e-13,1.34046347979388,6.65259933115333e-85
150,BACUNI_03393,0.954264257502146,2.1660365474129799e-13,1.96254172576903,2.26881579427333e-145
151,rplN,-1.01557880504456,2.1660365474129799e-13,-3.17755740687114,0.0
152,BACUNI_00754,0.918945790510765,2.16874153928057e-13,1.62116222688302,2.97079667866473e-102
153,BACUNI_01371,1.04609913271008,2.16874153928057e-13,1.42405325622479,1.04035733690051e-107
154,BACUNI_04162,0.855137356086733,2.16874153928057e-13,0.858973239792611,9.08138789158616e-24
155,rpsQ,-1.28285552098468,2.16874153928057e-13,-3.01105876000337,0.0
156,BACUNI_03125,0.79384018024361,2.16885343825976e-13,1.78901964564165,1.55718589827411e-80
157,BACUNI_03126,0.952321762234771,2.1905135446041599e-13,1.79135364807185,1.0245109140220799e-79
158,mdsC,1.63445975426032,2.1905135446041599e-13,2.57468586199601,0.0
159,BACUNI_02196,2.30375430797017,2.1905135446041599e-13,3.28419087964368,0.0
160,lysA,-0.791929946093958,2.24933124760194e-13,-2.09099534078341,6.936507811124291e-203
161,rplR,-0.93924251276631,2.25689296351384e-13,-2.99363914911613,0.0
162,BACUNI_01438,2.44724659762191,2.27579759135525e-13,2.67225869227696,0.0
163,BACUNI_01231,-0.8164619438386,2.27579759135525e-13,-3.65623807204549,0.0
164,BACUNI_03469,1.07711431841764,2.31023863903717e-13,0.909498534795886,3.38449004208634e-23
165,BACUNI_00840,1.11532203299807,2.34431375027054e-13,1.04693596956443,6.21216617595809e-27
166,infC,-0.871980447753948,2.36017504699879e-13,-1.760003314978,1.0575359400229802e-149
167,kbl,0.953778345276945,2.4330026182644e-13,1.59866532290965,6.867682627807689e-69
168,BACUNI_03163,0.959028937511832,2.50867441802469e-13,2.10037847436442,1.24104385719151e-15
169,rplD,-0.955708301447856,2.52133626978323e-13,-2.70837856354898,0.0
170,BACUNI_01054,0.911185719499169,2.5977565316946e-13,2.98421665181528,3.6729697893936497e-296
171,dam,-0.858890556428531,2.674902375135e-13,0.540661308548261,3.29269612157437e-05
172,BACUNI_02091,0.966179935250736,2.75195012912482e-13,2.50582689574265,1.6249437586685e-72
173,rplY,-1.05989759392137,2.83008860345002e-13,-3.01121040948734,0.0
174,rnr,1.05294095550987,2.83008860345002e-13,1.30684161226936,3.6034083706291794e-83
175,BACUNI_02560,-0.753607717847874,2.83008860345002e-13,-1.4522416856601,1.7295278330243e-50
176,BACUNI_01204,1.04925900562701,2.83978718728871e-13,0.703426415500793,5.280668021282391e-35
177,BACUNI_00387,0.924685715497585,2.86478466615879e-13,1.35963444643825,1.2586912877367601e-67
178,BACUNI_03847,1.24461562767863,2.86478466615879e-13,1.48400422383246,9.49561124205442e-48
179,BACUNI_01431,1.83362733188184,2.86478466615879e-13,3.36943762917779,0.0
180,rpsJ,-0.921024775741227,2.86478466615879e-13,-2.48582074408586,5.80124035987061e-225
181,BACUNI_00411,1.6659539661071,2.95922593515611e-13,3.41013633501682,0.0
182,BACUNI_01554,1.05753660018275,3.02368424657576e-13,2.88711558279218,4.53962995755943e-118
183,BACUNI_01584,-0.79951445615956,3.13678483353393e-13,-1.83768792370957,1.82433451934733e-160
184,rpiA,1.71071508357653,3.13678483353393e-13,1.89552496934864,5.7350659759397806e-52
185,typA,-0.822160304933664,3.15516861324223e-13,-1.56600774856269,1.51146679518437e-102
186,rplA,-0.924522783931675,3.2149337750432e-13,-2.95390975985607,0.0
187,purA,0.739210380890832,3.4446930129772697e-13,1.51931229727064,3.0003104981893e-210
188,BACUNI_03635,1.03709137157161,3.56109747705461e-13,1.49942792819164,9.50786428884772e-53
189,atpF,1.45106215677867,3.60627126176719e-13,1.68918621060027,5.11265541258175e-126
190,BACUNI_02727,0.843054135540804,3.89969240518046e-13,2.48121814703991,3.9787766103975403e-196
191,BACUNI_01897,0.833972452526236,3.90366760689054e-13,0.757293941748992,6.08881779272049e-25
192,BACUNI_01201,0.828301575363255,3.90366760689054e-13,1.88813585065893,5.24837062651678e-169
193,ftcD,1.72996445673891,3.93170994277033e-13,4.06305075686828,0.0
194,rpsE,-0.911053067135505,3.93614813287206e-13,-2.84270782782733,0.0
